binance_symbol, bittrex_symbol, binance_price_val, bitrex_price_val, val_time,price_diff, percentage_diff
ETHBTC,BTC-ETH,0.095158,0.09508858,1517024890243,6.942000000000059e-05,0.07295235292881375
LTCBTC,BTC-LTC,0.015833,0.01585502,1517024888972,-2.2020000000001066e-05,-0.1390766121392097
NEOBTC,BTC-NEO,0.012353,0.01225,1517024879466,0.00010299999999999893,0.8338055533068803
QTUMETH,ETH-QTUM,0.03685,0.03677068,1517024889198,7.932000000000078e-05,0.21525101763907947
SNTETH,ETH-SNT,0.00026843,0.00026816,1517024871107,2.700000000000228e-07,0.10058488246471066
BNTETH,ETH-BNT,0.006655,0.00664752,1517024871123,7.4800000000006805e-06,0.11239669421488625
BCCBTC,BTC-BCC,0.143435,0.1439,1517024886503,-0.0004649999999999932,-0.3241886568829039
BTCUSDT,USDT-BTC,11019.91,11012.0,1517024892611,7.9099999999998545,0.07177917061028498
ETHUSDT,USDT-ETH,1049.46,1048.0,1517024889642,1.4600000000000364,0.13911916604730398
DNTETH,ETH-DNT,0.00015113,0.00015361,1517024722295,-2.47999999999999e-06,-1.6409713491695823
MCOETH,ETH-MCO,0.011289,0.01113782,1517024254103,0.00015118000000000076,1.3391797324829546
MCOBTC,BTC-MCO,0.001071,0.00108212,1517024860272,-1.1120000000000097e-05,-1.0382819794584592
QTUMBTC,BTC-QTUM,0.003518,0.00351114,1517024899361,6.860000000000026e-06,0.1949971574758393
OMGBTC,BTC-OMG,0.001495,0.00149119,1517024896615,3.8099999999999246e-06,0.25484949832775416
OMGETH,ETH-OMG,0.015691,0.01574416,1517024904908,-5.316000000000001e-05,-0.3387929386272386
STRATBTC,BTC-STRAT,0.001243,0.00123867,1517024908589,4.329999999999872e-06,0.34835076427995754
STRATETH,ETH-STRAT,0.013112,0.01274656,1517024859346,0.00036543999999999986,2.7870652837095777
FUNBTC,BTC-FUN,8.81e-06,8.78e-06,1517024885176,2.999999999999971e-08,0.34052213393870273
FUNETH,ETH-FUN,9.236e-05,9.281e-05,1517024912061,-4.499999999999974e-07,-0.4872239064530071
NEOETH,ETH-NEO,0.129786,0.12904569,1517024909723,0.0007403100000000218,0.5704082104387389
XVGBTC,BTC-XVG,7.87e-06,7.84e-06,1517024915049,2.999999999999971e-08,0.3811944091486622
SALTBTC,BTC-SALT,0.000712,0.00070626,1517024897273,5.739999999999955e-06,0.8061797752808927
SALTETH,ETH-SALT,0.00749,0.00744626,1517024816283,4.3740000000000445e-05,0.5839786381842516
SNTBTC,BTC-SNT,2.555e-05,2.541e-05,1517024871128,1.4000000000000205e-07,0.54794520547946
ETCETH,ETH-ETC,0.027001,0.02700929,1517024887422,-8.289999999997605e-06,-0.030702566571599588
ETCBTC,BTC-ETC,0.002572,0.00256039,1517024888787,1.1610000000000006e-05,0.4513996889580095
ENGBTC,BTC-ENG,0.00036458,0.0003661,1517024915807,-1.520000000000026e-06,-0.41691809753689896
ENGETH,ETH-ENG,0.0038186,0.00388085,1517024913961,-6.22499999999998e-05,-1.6301785994867177
DNTBTC,BTC-DNT,1.442e-05,1.434e-05,1517024918386,7.999999999999923e-08,0.554785020804433
ZECBTC,BTC-ZEC,0.040972,0.0409,1517024918367,7.200000000000262e-05,0.1757297666699273
ZECETH,ETH-ZEC,0.42952,0.4354158,1517024766678,-0.005895800000000007,-1.3726485379027769
BNTBTC,BTC-BNT,0.00063363,0.00062648,1517024871140,7.150000000000038e-06,1.1284187933020908
DASHBTC,BTC-DASH,0.068481,0.0683402,1517024886814,0.00014079999999999648,0.20560447423372394
DASHETH,ETH-DASH,0.71801,0.7162909,1517024891618,0.0017191000000000844,0.23942563474047499
BTGBTC,BTC-BTG,0.016097,0.01600999,1517024878700,8.700999999999848e-05,0.5405355035099613
